timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649492207828,151,Get_Products,200,OK,Grupo de Hilos 1-1,text,true,,305,127,10,10,http://localhost:8000/products,151,0,1
1649492208036,150,Get_Products,200,OK,Grupo de Hilos 1-2,text,true,,305,127,10,10,http://localhost:8000/products,150,0,1
1649492208228,148,Get_Products,200,OK,Grupo de Hilos 1-3,text,true,,305,127,10,10,http://localhost:8000/products,148,0,1
1649492208427,151,Get_Products,200,OK,Grupo de Hilos 1-4,text,true,,305,127,10,10,http://localhost:8000/products,151,0,1
1649492208626,150,Get_Products,200,OK,Grupo de Hilos 1-5,text,true,,305,127,10,10,http://localhost:8000/products,150,0,1
1649492208829,149,Get_Products,200,OK,Grupo de Hilos 1-6,text,true,,305,127,10,10,http://localhost:8000/products,149,0,1
1649492209025,152,Get_Products,200,OK,Grupo de Hilos 1-7,text,true,,305,127,10,10,http://localhost:8000/products,152,0,1
1649492209223,152,Get_Products,200,OK,Grupo de Hilos 1-8,text,true,,305,127,10,10,http://localhost:8000/products,152,0,1
1649492209424,149,Get_Products,200,OK,Grupo de Hilos 1-9,text,true,,305,127,10,10,http://localhost:8000/products,149,0,1
1649492209624,151,Get_Products,200,OK,Grupo de Hilos 1-10,text,true,,305,127,10,10,http://localhost:8000/products,151,0,1
1649492212991,149,Get_Products,200,OK,Grupo de Hilos 1-1,text,true,,305,127,10,10,http://localhost:8000/products,149,0,1
1649492213199,152,Get_Products,200,OK,Grupo de Hilos 1-2,text,true,,305,127,9,9,http://localhost:8000/products,152,0,1
1649492213390,151,Get_Products,200,OK,Grupo de Hilos 1-3,text,true,,305,127,8,8,http://localhost:8000/products,151,0,1
1649492213582,149,Get_Products,200,OK,Grupo de Hilos 1-4,text,true,,305,127,7,7,http://localhost:8000/products,149,0,1
1649492213787,150,Get_Products,200,OK,Grupo de Hilos 1-5,text,true,,305,127,6,6,http://localhost:8000/products,150,0,1
1649492213979,17,Get_Products,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Grupo de Hilos 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2441,0,5,5,http://localhost:8000/products,0,0,0
1649492214186,152,Get_Products,200,OK,Grupo de Hilos 1-7,text,true,,305,127,4,4,http://localhost:8000/products,152,0,1
1649492214390,150,Get_Products,200,OK,Grupo de Hilos 1-8,text,true,,305,127,3,3,http://localhost:8000/products,150,0,1
1649492214581,149,Get_Products,200,OK,Grupo de Hilos 1-9,text,true,,305,127,2,2,http://localhost:8000/products,149,0,1
1649492214786,150,Get_Products,200,OK,Grupo de Hilos 1-10,text,true,,305,127,1,1,http://localhost:8000/products,150,0,1
